time_fs,mu_true,mu_pred,mm_true,mm_pred,q0_true,q0_pred,q1_true,q1_pred,q2_true,q2_pred,q3_true,q3_pred
2.400000000000000000e+01,2.482412457466125488e-01,2.482412457466125488e-01,-3.561699413694441319e-04,-3.561699413694441319e-04,-3.739084349945187569e-04,-3.739084349945187569e-04,-4.094898395123891532e-05,-4.094898395123891532e-05,4.967660643160343170e-04,4.967660643160343170e-04,-8.190861262846738100e-05,-8.190861262846738100e-05
2.402000045776367188e+01,2.495131492614746094e-01,2.495131492614746094e-01,-3.414723032619804144e-04,-3.414723032619804144e-04,-4.483239026740193367e-04,-4.483239026740193367e-04,1.959229120984673500e-05,1.959229120984673500e-05,5.987739423289895058e-04,5.987739423289895058e-04,-1.700423454167321324e-04,-1.700423454167321324e-04
2.404000091552734375e+01,2.505915760993957520e-01,2.505915760993957520e-01,-3.190301358699798584e-04,-3.190301358699798584e-04,-5.183719913475215435e-04,-5.183719913475215435e-04,7.681886927457526326e-05,7.681886927457526326e-05,6.975035648792982101e-04,6.975035648792982101e-04,-2.559504355303943157e-04,-2.559504355303943157e-04
2.405999946594238281e+01,2.514553964138031006e-01,2.514553964138031006e-01,-2.892084594350308180e-04,-2.892084594350308180e-04,-5.817590281367301941e-04,-5.817590281367301941e-04,1.293397654080763459e-04,1.293397654080763459e-04,7.900979835540056229e-04,7.900979835540056229e-04,-3.376787353772670031e-04,-3.376787353772670031e-04
2.407999992370605469e+01,2.520869076251983643e-01,2.520869076251983643e-01,-2.525557356420904398e-04,-2.525557356420904398e-04,-6.361820851452648640e-04,-6.361820851452648640e-04,1.756501296767964959e-04,1.756501296767964959e-04,8.736060699447989464e-04,8.736060699447989464e-04,-4.130740708205848932e-04,-4.130740708205848932e-04
2.410000038146972656e+01,2.524726390838623047e-01,2.524726390838623047e-01,-2.097972756018862128e-04,-2.097972756018862128e-04,-6.796575034968554974e-04,-6.796575034968554974e-04,2.142232988262549043e-04,2.142232988262549043e-04,9.454477694816887379e-04,9.454477694816887379e-04,-4.800135502591729164e-04,-4.800135502591729164e-04
2.412000083923339844e+01,2.526044547557830811e-01,2.526044547557830811e-01,-1.619388931430876255e-04,-1.619388931430876255e-04,-7.106934790499508381e-04,-7.106934790499508381e-04,2.435601636534556746e-04,2.435601636534556746e-04,1.003715326078236103e-03,1.003715326078236103e-03,-5.365820252336561680e-04,-5.365820252336561680e-04
2.413999938964843750e+01,2.524803876876831055e-01,2.524803876876831055e-01,-1.102788664866238832e-04,-1.102788664866238832e-04,-7.283287122845649719e-04,-7.283287122845649719e-04,2.622464671730995178e-04,2.622464671730995178e-04,1.047251396812498569e-03,1.047251396812498569e-03,-5.811691517010331154e-04,-5.811691517010331154e-04
2.415999984741210938e+01,2.521044909954071045e-01,2.521044909954071045e-01,-5.625338963000103831e-05,-5.625338963000103831e-05,-7.321289740502834320e-04,-7.321289740502834320e-04,2.691308909561485052e-04,2.691308909561485052e-04,1.075509120710194111e-03,1.075509120710194111e-03,-6.125110085122287273e-04,-6.125110085122287273e-04
2.418000030517578125e+01,2.514860928058624268e-01,2.514860928058624268e-01,-1.313021357418620028e-06,-1.313021357418620028e-06,-7.221169071272015572e-04,-7.221169071272015572e-04,2.634703996591269970e-04,2.634703996591269970e-04,1.088334014639258385e-03,1.088334014639258385e-03,-6.296875653788447380e-04,-6.296875653788447380e-04
2.420000076293945312e+01,2.506394088268280029e-01,2.506394088268280029e-01,5.320579293766058981e-05,5.320579293766058981e-05,-6.986662629060447216e-04,-6.986662629060447216e-04,2.449637104291468859e-04,2.449637104291468859e-04,1.085858326405286789e-03,1.085858326405286789e-03,-6.321556866168975830e-04,-6.321556866168975830e-04
2.421999931335449219e+01,2.495828866958618164e-01,2.495828866958618164e-01,1.063796298694796860e-04,1.063796298694796860e-04,-6.624519010074436665e-04,-6.624519010074436665e-04,2.138250565622001886e-04,2.138250565622001886e-04,1.068502082489430904e-03,1.068502082489430904e-03,-6.198752671480178833e-04,-6.198752671480178833e-04
2.423999977111816406e+01,2.483386099338531494e-01,2.479192614555358887e-01,1.576276845298707485e-04,1.568980515003204346e-04,-6.143870996311306953e-04,-6.166127277538180351e-04,1.708713389234617352e-04,1.828358363127335906e-04,1.036933506838977337e-03,1.046368735842406750e-03,-5.934177897870540619e-04,-6.084326305426657200e-04
2.426000022888183594e+01,2.469318211078643799e-01,2.463823109865188599e-01,2.061110717477276921e-04,2.041356347035616636e-04,-5.554893286898732185e-04,-5.569034838117659092e-04,1.174744538730010390e-04,1.366347132716327906e-04,9.919835720211267471e-04,1.001422991976141930e-03,-5.539687117561697960e-04,-5.777713377028703690e-04
2.428000068664550781e+01,2.453909963369369507e-01,2.446318864822387695e-01,2.505818265490233898e-04,2.469663741067051888e-04,-4.868526011705398560e-04,-4.870888078585267067e-04,5.548284389078617096e-05,8.303849608637392521e-05,9.346578153781592846e-04,9.432798833586275578e-04,-5.032880580984055996e-04,-5.378972855396568775e-04
2.429999923706054688e+01,2.437474578619003296e-01,2.427248209714889526e-01,2.897964150179177523e-04,2.845595881808549166e-04,-4.097983182873576880e-04,-4.074514436069875956e-04,-1.281218828808050603e-05,2.291784767294302583e-05,8.662457112222909927e-04,8.745288359932601452e-04,-4.436352173797786236e-04,-4.877607570961117744e-04
2.431999969482421875e+01,2.420347779989242554e-01,2.407047301530838013e-01,3.226746630389243364e-04,3.161304339300841093e-04,-3.259628138039261103e-04,-3.202342195436358452e-04,-8.487011655233800411e-05,-4.257896216586232185e-05,7.883904618211090565e-04,7.978901849128305912e-04,-3.775575023610144854e-04,-4.296416591387242079e-04
2.434000015258789062e+01,2.402884960174560547e-01,2.386147230863571167e-01,3.482975880615413189e-04,3.409954952076077461e-04,-2.371932496316730976e-04,-2.270358672831207514e-04,-1.582725381013005972e-04,-1.121335517382249236e-04,7.030668202787637711e-04,7.113118190318346024e-04,-3.076010034419596195e-04,-3.666151314973831177e-04
2.436000061035156250e+01,2.385451048612594604e-01,2.365011125802993774e-01,3.661035152617841959e-04,3.586178354453295469e-04,-1.454007287975400686e-04,-1.287292398046702147e-04,-2.309805422555655241e-04,-1.844449143391102552e-04,6.124986684881150723e-04,6.204184028320014477e-04,-2.361173683311790228e-04,-2.995932300109416246e-04
2.437999916076660156e+01,2.368408441543579102e-01,2.344133108854293823e-01,3.759374376386404037e-04,3.686388954520225525e-04,-5.242651241132989526e-05,-2.639801641635131091e-05,-3.014000249095261097e-04,-2.573149977251887321e-04,5.190004012547433376e-04,5.275731091387569904e-04,-1.651738566579297185e-04,-2.304473600815981627e-04
2.439999961853027344e+01,2.352105379104614258e-01,2.324023395776748657e-01,3.778318350668996572e-04,3.708878939505666494e-04,4.010071643278934062e-05,7.799690501997247338e-05,-3.683825780171900988e-04,-3.295956121291965246e-04,4.247761680744588375e-04,4.298909043427556753e-04,-9.649431012803688645e-05,-1.589777675690129399e-04
2.442000007629394531e+01,2.336865961551666260e-01,2.305189371109008789e-01,3.719674714375287294e-04,3.653689636848866940e-04,1.307661295868456364e-04,1.820255711209028959e-04,-4.311034572310745716e-04,-4.005811642855405807e-04,3.318015078548341990e-04,3.314707428216934204e-04,-3.146420567645691335e-05,-8.735194569453597069e-05
