time_fs,mu_x_true,mu_x_pred,m_x_true,m_x_pred,is_train,is_val
0.2400055,0.2419185,0.2411475,-1.34377715e-05,-1.1493553e-05,0,0
0.26000595,0.24227461,0.24150433,-1.6047861e-05,-1.3931055e-05,0,0
0.2800064,0.24261674,0.24186136,-1.8670666e-05,-1.6617521e-05,0,0
0.30000687,0.24292938,0.24220549,-2.1077987e-05,-1.9363633e-05,0,0
0.32000732,0.24319787,0.24252185,-2.300381e-05,-2.1911064e-05,0,0
0.34000778,0.24341084,0.24279477,-2.4316929e-05,-2.39529e-05,0,0
0.36000824,0.24356249,0.2430095,-2.4990592e-05,-2.5259842e-05,0,0
0.3800087,0.24365136,0.24315464,-2.4985819e-05,-2.5741823e-05,0,0
0.40000916,0.24367735,0.24322379,-2.4377838e-05,-2.5385754e-05,0,0
0.4200096,0.24364018,0.24321535,-2.3347115e-05,-2.4279514e-05,0,0
0.44001007,0.24353899,0.24313137,-2.1951699e-05,-2.2629052e-05,0,0
0.46001053,0.24337202,0.2429756,-2.0163237e-05,-2.061252e-05,0,0
0.480011,0.24313779,0.24275206,-1.7969127e-05,-1.8300421e-05,0,0
0.50001144,0.24283679,0.24246418,-1.5297715e-05,-1.5696662e-05,0,0
0.5200119,0.2424716,0.24211502,-1.21153e-05,-1.2737521e-05,0,0
0.54001236,0.24204686,0.24170785,-8.603892e-06,-9.350772e-06,0,0
0.5600128,0.24157014,0.24124698,-5.001967e-06,-5.6156828e-06,0,0
0.5800133,0.24105151,0.2407386,-1.425259e-06,-1.7541954e-06,0,0
0.60001373,0.24050122,0.24019141,1.9900071e-06,2.02516e-06,0,0
0.6200142,0.23992854,0.23961633,5.0726503e-06,5.54296e-06,0,0
0.64001465,0.23934202,0.23902528,7.819109e-06,8.621827e-06,0,0
0.6600151,0.23874974,0.23843007,1.0305861e-05,1.1195035e-05,0,0
0.68001556,0.2381604,0.23784153,1.2534897e-05,1.33251015e-05,0,0
0.700016,0.2375846,0.23726955,1.4543939e-05,1.5092315e-05,0,0
0.7200165,0.23703505,0.23672362,1.638633e-05,1.6582351e-05,0,0
0.74001694,0.23652588,0.23621386,1.7972972e-05,1.7884755e-05,0,0
0.7600174,0.23607211,0.23575161,1.9182286e-05,1.8991166e-05,0,0
0.78001785,0.23568779,0.2353495,2.0020323e-05,1.9800616e-05,0,0
0.8000183,0.23538375,0.23502073,2.0486917e-05,2.0250474e-05,0,0
0.82001877,0.23516731,0.23477751,2.0497557e-05,2.0319287e-05,0,0
0.8400192,0.23504347,0.2346295,2.009644e-05,1.9954385e-05,0,0
0.8600197,0.23501535,0.23458295,1.9476238e-05,1.915901e-05,0,0
0.88002014,0.23508425,0.23464066,1.8748595e-05,1.8077815e-05,0,0
0.9000206,0.2352498,0.23480217,1.7952063e-05,1.68859e-05,0,0
0.92002106,0.23550962,0.2350643,1.7120132e-05,1.5699512e-05,0,0
0.9400215,0.23585922,0.23542143,1.6207949e-05,1.4579411e-05,0,0
0.960022,0.23629276,0.23586592,1.5192355e-05,1.35035025e-05,0,0
0.98002243,0.23680249,0.23638844,1.42452045e-05,1.2418421e-05,0,0
1.0000229,0.2373775,0.23697844,1.3643739e-05,1.1394211e-05,0,0
1.0200233,0.23800403,0.23762365,1.3578561e-05,1.0662542e-05,0,0
1.0400238,0.23866652,0.2383098,1.4136046e-05,1.0483571e-05,0,0
1.0600243,0.2393482,0.23902076,1.5333979e-05,1.1032285e-05,0,0
1.0800247,0.24003263,0.23973888,1.7054785e-05,1.2367315e-05,0,0
1.1000252,0.24070537,0.24044609,1.9162459e-05,1.4392882e-05,0,0
1.1200256,0.24135405,0.2411254,2.1692635e-05,1.6920028e-05,0,0
1.1400261,0.2419664,0.24176213,2.4689969e-05,1.9845056e-05,0,0
1.1600266,0.24252987,0.2423439,2.8059952e-05,2.3154915e-05,0,0
1.180027,0.24303217,0.24286018,3.1664447e-05,2.6797594e-05,0,0
1.2000275,0.24346139,0.24330159,3.52958e-05,3.065193e-05,0,0
1.2200279,0.24380614,0.2436596,3.8715938e-05,3.4513334e-05,0,0
1.2400284,0.24405694,0.24392627,4.17745e-05,3.8118924e-05,0,0
1.2600288,0.2442065,0.24409446,4.423512e-05,4.124556e-05,0,0
1.2800293,0.24424948,0.24415825,4.5685847e-05,4.365914e-05,0,0
1.3000298,0.24418372,0.24411331,4.58414e-05,4.500211e-05,0,0
1.3200302,0.2440109,0.24395755,4.469376e-05,4.4923534e-05,0,0
1.3400307,0.24373564,0.2436919,4.2287702e-05,4.3289154e-05,0,0
1.3600311,0.24336417,0.24332087,3.8605114e-05,4.0150026e-05,0,0
1.3800316,0.24290374,0.2428522,3.3705182e-05,3.560121e-05,0,0
1.400032,0.24236262,0.24229616,2.7692684e-05,2.9774237e-05,0,0
1.4200325,0.2417499,0.2416646,2.0575995e-05,2.2836211e-05,0,0
1.440033,0.24107656,0.24097036,1.2435052e-05,1.4896563e-05,0,0
1.4600334,0.24035648,0.24022706,3.589483e-06,6.056757e-06,0,0
1.4800339,0.23960562,0.23944952,-5.6100807e-06,-3.4265863e-06,0,0
1.5000343,0.23884146,0.2386541,-1.49310545e-05,-1.3176241e-05,0,0
1.5200348,0.23808324,0.2378587,-2.4115147e-05,-2.2849114e-05,0,0
1.5400352,0.23735043,0.23708251,-3.2899858e-05,-3.2142594e-05,0,0
1.5600357,0.2366598,0.23634554,-4.12075e-05,-4.0783212e-05,0,0
1.5800362,0.23602441,0.23566696,-4.903048e-05,-4.8636255e-05,0,0
1.6000366,0.23545454,0.23506323,-5.6243895e-05,-5.5704226e-05,0,0
1.6200371,0.23495856,0.2345469,-6.2712934e-05,-6.197734e-05,0,0
1.6400375,0.23454407,0.23412646,-6.831136e-05,-6.739896e-05,0,0
1.660038,0.23421931,0.233807,-7.279138e-05,-7.188123e-05,0,0
1.6800385,0.23399276,0.23359156,-7.592046e-05,-7.524057e-05,0,0
1.7000389,0.23387153,0.23348248,-7.767417e-05,-7.724323e-05,0,0
1.7200394,0.23386008,0.23348175,-7.8149744e-05,-7.777654e-05,0,0
1.7400398,0.2339595,0.2335906,-7.742419e-05,-7.690196e-05,0,0
1.7600403,0.23416755,0.23380862,-7.550154e-05,-7.4762254e-05,0,0
1.7800407,0.23447865,0.23413296,-7.2309536e-05,-7.146879e-05,0,0
1.8000412,0.23488511,0.23455767,-6.782535e-05,-6.7037196e-05,0,0
1.8200417,0.23537877,0.2350738,-6.216653e-05,-6.144933e-05,0,0
1.8400421,0.23595119,0.23567009,-5.5434495e-05,-5.4770302e-05,0,0
